日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2022-01-03,12539636.0,597825872.0,48.05,48.15,47.35,47.45,-0.55,7502.0
2022-01-04,11582787.0,546668986.0,47.5,47.6,47.0,47.3,-0.15,8038.0
2022-01-05,12283179.0,579369726.0,47.1,47.3,47.0,47.15,-0.15,6147.0
2022-01-06,12468214.0,590435369.0,47.3,47.6,47.15,47.6,+0.45,6576.0
2022-01-07,11036127.0,522523832.0,47.6,47.65,47.2,47.45,-0.15,6945.0
2022-01-10,12136515.0,572075164.0,47.45,47.5,47.0,47.3,-0.15,8558.0
2022-01-11,11147705.0,526597589.0,47.1,47.5,47.1,47.5,+0.20,6559.0
2022-01-12,10891460.0,514936656.0,47.5,47.5,47.1,47.5, 0.00,6804.0
2022-01-13,13905887.0,662550194.0,47.5,47.95,47.4,47.95,+0.45,6389.0
2022-01-14,9517206.0,452812580.0,47.85,47.85,47.45,47.6,-0.35,5373.0
2022-01-17,9135562.0,433784449.0,47.55,47.7,47.35,47.6, 0.00,8042.0
2022-01-18,8152546.0,387725879.0,47.6,47.75,47.45,47.75,+0.15,4748.0
2022-01-19,5155877.0,245372405.0,47.6,47.7,47.5,47.6,-0.15,3689.0
2022-01-20,6369636.0,302796259.0,47.55,47.7,47.45,47.5,-0.10,3066.0
2022-01-21,9546706.0,451696046.0,47.5,47.65,47.15,47.4,-0.10,4779.0
2022-01-24,5535224.0,260992721.0,47.1,47.3,47.0,47.15,-0.25,3572.0
2022-01-25,16429917.0,767993493.0,47.0,47.05,46.6,46.8,-0.35,11857.0
2022-01-26,7858213.0,368020594.0,46.7,47.0,46.55,46.85,+0.05,6316.0
