日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2020-01-02,4655355.0,345260154.0,74.3,74.6,73.5,74.2, 0.00,3446.0
2020-01-03,4106135.0,306475860.0,74.3,74.8,74.3,74.8,+0.60,2629.0
2020-01-06,6241361.0,461167935.0,74.4,74.4,73.6,73.9,-0.90,2831.0
2020-01-07,6383030.0,468478384.0,73.7,74.0,73.1,73.4,-0.50,3114.0
2020-01-08,5159215.0,375610895.0,73.4,73.4,72.6,72.6,-0.80,2859.0
2020-01-09,6308040.0,462169838.0,72.7,73.8,72.6,73.4,+0.80,2448.0
2020-01-10,4231374.0,312761876.0,73.3,74.4,73.3,74.0,+0.60,2428.0
2020-01-13,4507176.0,335654393.0,74.1,74.8,74.1,74.6,+0.60,2584.0
2020-01-14,7371510.0,548447715.0,74.5,74.7,74.1,74.4,-0.20,3041.0
2020-01-15,6292051.0,468583774.0,74.4,74.6,74.1,74.6,+0.20,2971.0
2020-01-16,9104708.0,683674753.0,74.3,75.5,74.2,75.5,+0.90,4678.0
2020-01-17,6843898.0,517200062.0,75.7,75.8,75.3,75.7,+0.20,4431.0
2020-01-20,5132787.0,387637445.0,75.5,75.7,75.2,75.4,-0.30,2725.0
2020-01-30,23689030.0,1735472383.0,75.4,75.4,71.8,72.0,-3.40,9450.0
2020-01-31,11901409.0,868667417.0,72.1,73.7,72.1,72.6,+0.60,5326.0
2020-02-03,7888011.0,576707799.0,72.5,74.2,72.4,73.0,+0.40,3577.0
2020-02-04,9227245.0,677503245.0,73.2,73.8,72.9,73.5,+0.50,2789.0
2020-02-05,9696908.0,712178769.0,73.5,73.7,72.8,73.7,+0.20,3204.0
2020-02-06,4854050.0,358030884.0,73.8,74.0,73.5,74.0,+0.30,2550.0
2020-02-07,6078371.0,447482656.0,73.2,74.1,73.1,73.6,-0.40,3175.0
2020-02-10,8362865.0,623526595.0,73.8,75.0,73.4,75.0,+1.40,3430.0
2020-02-11,6537317.0,489255675.0,74.8,75.3,74.3,74.6,-0.40,3548.0
2020-02-12,9192875.0,686057315.0,74.4,74.9,74.4,74.4,-0.20,4131.0
2020-02-13,8706870.0,647540959.0,74.3,74.7,74.1,74.5,+0.10,3015.0
2020-02-14,4469080.0,331872925.0,74.1,74.6,74.1,74.2,-0.30,2356.0
2020-02-17,3687800.0,275841775.0,74.2,75.0,74.2,75.0,+0.80,1695.0
2020-02-18,6571254.0,492827750.0,74.9,75.2,74.6,75.1,+0.10,3092.0
2020-02-19,6012958.0,451656350.0,75.2,75.3,74.9,75.0,-0.10,3073.0
2020-02-20,8024475.0,596206774.0,75.0,75.0,74.0,74.0,-1.00,4350.0
2020-02-21,4703263.0,348169702.0,74.0,74.4,73.7,74.0, 0.00,2337.0
2020-02-24,18632439.0,1367226036.0,72.2,73.8,72.2,73.5,-0.50,4146.0
2020-02-25,8383856.0,615232242.0,73.0,73.6,72.8,73.5, 0.00,3943.0
2020-02-26,8791928.0,641597243.0,72.8,73.3,72.8,73.0,-0.50,3334.0
2020-02-27,10588934.0,773076389.0,72.8,73.5,72.6,73.2,+0.20,3865.0
2020-03-02,18205933.0,1301333342.0,71.4,71.9,71.2,71.2,-2.00,8989.0
2020-03-03,9426839.0,677290936.0,71.7,72.3,71.4,72.0,+0.80,4865.0
2020-03-04,8582691.0,626797780.0,72.0,73.5,72.0,73.5,+1.50,4277.0
2020-03-05,8456162.0,622200699.0,74.2,74.2,72.8,73.6,+0.10,4365.0
2020-03-06,8688680.0,633238440.0,73.6,73.7,72.5,72.7,-0.90,5096.0
2020-03-09,15373808.0,1104332693.0,71.6,72.7,71.2,71.8,-0.90,7198.0
2020-03-10,13774295.0,994121598.0,71.8,72.8,71.4,72.4,+0.60,5792.0
2020-03-11,14163307.0,1027530201.0,72.0,73.2,71.8,72.9,+0.50,5667.0
2020-03-12,19721933.0,1389580549.0,72.7,72.7,68.9,70.3,-2.60,8636.0
2020-03-13,28827276.0,1909237775.0,66.3,69.0,63.4,68.2,-2.10,11209.0
2020-03-16,15121759.0,1011918374.0,67.6,68.2,66.0,66.3,-1.90,6300.0
2020-03-17,22276147.0,1443992611.0,63.0,65.9,62.9,64.9,-1.40,8823.0
2020-03-18,18256131.0,1156887853.0,64.5,64.5,61.9,61.9,-3.00,8307.0
2020-03-19,19234181.0,1196628699.0,61.5,65.0,60.6,62.9,+1.00,8984.0
2020-03-20,24719546.0,1614809444.0,63.5,68.1,63.4,65.0,+2.10,10629.0
2020-03-23,16806671.0,1065903644.0,62.6,65.1,62.5,62.6,-2.40,5467.0
2020-03-24,13682328.0,915190802.0,65.7,68.0,65.0,66.6,+4.00,7053.0
2020-03-25,11435852.0,765394463.0,66.4,68.4,66.4,66.6, 0.00,6502.0
2020-03-26,13885099.0,925385733.0,66.3,67.8,65.8,65.8,-0.80,5127.0
2020-03-27,13130706.0,857783190.0,66.2,66.7,64.1,64.1,-1.70,5738.0
2020-03-30,11044114.0,704660210.0,62.7,64.5,62.7,63.8,-0.30,4491.0
2020-03-31,13541060.0,887172330.0,64.8,66.2,64.5,65.6,+1.80,5034.0
2020-04-01,10920723.0,719820628.0,66.1,67.0,65.1,65.1,-0.50,4846.0
2020-04-06,17887448.0,1218683632.0,68.2,69.0,67.1,69.0,+3.90,7687.0
2020-04-07,14621954.0,1019675895.0,70.3,70.9,68.8,69.0, 0.00,6097.0
2020-04-08,9998101.0,704812189.0,69.0,71.0,69.0,70.2,+1.20,4701.0
2020-04-09,6283504.0,437783680.0,70.0,70.7,69.2,69.6,-0.60,3322.0
2020-04-10,3617302.0,250319090.0,69.2,69.6,68.9,69.0,-0.60,2294.0
